name,class
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,Normal
android.permission.ACCESS_NETWORK_STATE,Normal
android.permission.ACCESS_NOTIFICATION_POLICY,Normal
android.permission.ACCESS_WIFI_STATE,Normal
android.permission.BLUETOOTH,Normal
android.permission.BLUETOOTH_ADMIN,Normal
android.permission.BROADCAST_STICKY,Normal
android.permission.CHANGE_NETWORK_STATE,Normal
android.permission.CHANGE_WIFI_MULTICAST_STATE,Normal
android.permission.CHANGE_WIFI_STATE,Normal
android.permission.DISABLE_KEYGUARD,Normal
android.permission.EXPAND_STATUS_BAR,Normal
android.permission.FOREGROUND_SERVICE,Normal
android.permission.GET_PACKAGE_SIZE,Normal
android.permission.INSTALL_SHORTCUT,Normal
android.permission.INTERNET,Normal
android.permission.KILL_BACKGROUND_PROCESSES,Normal
android.permission.MANAGE_OWN_CALLS,Normal
android.permission.MODIFY_AUDIO_SETTINGS,Normal
android.permission.NFC,Normal
android.permission.READ_SYNC_SETTINGS,Normal
android.permission.READ_SYNC_STATS,Normal
android.permission.RECEIVE_BOOT_COMPLETED,Normal
android.permission.REORDER_TASKS,Normal
android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND,Normal
android.permission.REQUEST_COMPANION_USE_DATA_IN_BACKGROUND,Normal
android.permission.REQUEST_DELETE_PACKAGES,Normal
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,Normal
android.permission.SET_ALARM,Normal
android.permission.SET_WALLPAPER,Normal
android.permission.SET_WALLPAPER_HINTS,Normal
android.permission.TRANSMIT_IR,Normal
android.permission.USE_FINGERPRINT,Normal
android.permission.VIBRATE,Normal
android.permission.WAKE_LOCK,Normal
android.permission.WRITE_SYNC_SETTINGS,Normal
android.permission.BIND_ACCESSIBILITY_SERVICE,Signature
android.permission.BIND_AUTOFILL_SERVICE,Signature
android.permission.BIND_CARRIER_SERVICES,Signature
android.permission.BIND_CHOOSER_TARGET_SERVICE,Signature
android.permission.BIND_CONDITION_PROVIDER_SERVICE,Signature
android.permission.BIND_DEVICE_ADMIN,Signature
android.permission.BIND_DREAM_SERVICE,Signature
android.permission.BIND_INCALL_SERVICE,Signature
android.permission.BIND_INPUT_METHOD,Signature
android.permission.BIND_MIDI_DEVICE_SERVICE,Signature
android.permission.BIND_NFC_SERVICE,Signature
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,Signature
android.permission.BIND_PRINT_SERVICE,Signature
android.permission.BIND_SCREENING_SERVICE,Signature
android.permission.BIND_TELECOM_CONNECTION_SERVICE,Signature
android.permission.BIND_TEXT_SERVICE,Signature
android.permission.BIND_TV_INPUT,Signature
android.permission.BIND_VISUAL_VOICEMAIL_SERVICE,Signature
android.permission.BIND_VOICE_INTERACTION,Signature
android.permission.BIND_VPN_SERVICE,Signature
android.permission.BIND_VR_LISTENER_SERVICE,Signature
android.permission.BIND_WALLPAPER,Signature
android.permission.CLEAR_APP_CACHE,Signature
android.permission.MANAGE_DOCUMENTS,Signature
android.permission.READ_VOICEMAIL,Signature
android.permission.REQUEST_INSTALL_PACKAGES,Signature
android.permission.SYSTEM_ALERT_WINDOW,Signature
android.permission.WRITE_SETTINGS,Signature
android.permission.WRITE_VOICEMAIL,Signature
android.permission.READ_CALENDAR,Dangerous
android.permission.WRITE_CALENDAR,Dangerous
android.permission.READ_CALL_LOG,Dangerous
android.permission.WRITE_CALL_LOG,Dangerous
android.permission.PROCESS_OUTGOING_CALLS,Dangerous
android.permission.CAMERA,Dangerous
android.permission.READ_CONTACTS,Dangerous
android.permission.WRITE_CONTACTS,Dangerous
android.permission.GET_ACCOUNTS,Dangerous
android.permission.ACCESS_FINE_LOCATION,Dangerous
android.permission.ACCESS_COARSE_LOCATION,Dangerous
android.permission.RECORD_AUDIO,Dangerous
android.permission.READ_PHONE_STATE,Dangerous
android.permission.READ_PHONE_NUMBERS,Dangerous
android.permission.CALL_PHONE,Dangerous
android.permission.ANSWER_PHONE_CALLS,Dangerous
android.permission.ADD_VOICEMAIL,Dangerous
android.permission.USE_SIP,Dangerous
android.permission.BODY_SENSORS,Dangerous
android.permission.SEND_SMS,Dangerous
android.permission.RECEIVE_SMS,Dangerous
android.permission.READ_SMS,Dangerous
android.permission.RECEIVE_WAP_PUSH,Dangerous
android.permission.RECEIVE_MMS,Dangerous
android.permission.READ_EXTERNAL_STORAGE,Dangerous
android.permission.WRITE_EXTERNAL_STORAGE,Dangerous
